pattern	template
I am vendor approver But still I am not able to approve a vendor	If you have all the approver roles and still you are not able to approve vendor, please check if vendor is marked as Inactive. Change it and you will be able to approve it.

How to check to whom my vendor is routed for approval	Navigate to Main Menu > Vendors > Vendor Information > Add/Update > Vendor. Search for the required vendor and click View Approvals. You can see to whom voucher is routed for approval.

Where I can check my supervisor details	Navigation: | Main Menu > Travel and Expenses > Review Edit Profile | 1. Click Organizational Data | 2. Check Supervisor Information and the user ID present.

Can support team cancel the payments	No support team cannot cancel the payment.

Where can view a voucher pending for my approval	Main Menu > Accounts Payable > Vouchers > Approve > Approval Framework - Vouchers

I ran the expedite requisition process but Purchase Order PO is not yet created	Purchase Order (PO) may not be created as they are stuck in staging tables. |1. Navigate to Main Menu > Purchasing > Purchase Orders > Stage/Source Requests > Sourcing Workbench and search for required Requisition ID.  |2. After selection, check the lines which are in Error and just click on Purge.|3. Now, expedite the requisition again and PO will be created successfully.|For any further clarification, Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

My voucher is Pending for approval Where I can check it is pending with whom	Navigation: Main Menu > Accounts Payable > Add/Update > Regular Entry |1. Search for the required voucher.|2. Click Approval History. You will be able to see the person with whom the voucher is Pending.

Why my requisition is not routed for approval	Please check if you have submitted the requisition for approval. If requisition status is Open, this means you have not submitted the requisition for approval yet.

Why my expense reports are not reconciled	If your expense reports are created without applying any cash advance and if they are paid, they cannot be reconciled.

Issue with Mileage Claim	Your vehicle information may not be registered. Please register the information and try again.

Error while submitting the mileage claims like the transportation ID column drop down can not be blank	Your vehicle information may not be registered. Please register the information and try again.

I am not able to see voucher exception page	Please create an Online Security Request Form for the below role using following link: |https://psaccess.laureate.net/|Role Name: LI_AP_INQUIRY_GLB (AP Inquiry Role)

How I can check the approvers of my requisition	Navigation: Main Menu > eProcurement > Manage Requisitions|Search for the requisition, select View Approvals from the dropdown and click Go. You can see the approvers.|Navigation: Main Menu > Purchasing > Requisitions > Review Requisition Information > Requisitions|Search for the requisition, click Status tab and second icon View Approvals.

Errror Over shipped when you are trying to create receipt again while creating receipts	You are creating a receipt for a PO against which already receipts are created. POs are fully utilized by PO amount and Quantity.

Accounting Template is not valid error while creating a voucher	Error occures because this Template is not present in lookup. To correct this error, please click lookup and select the value from the list.

Unable to upload journal through spreadsheet	Please use new template as your current template might have few errors.

How I can give authority to someone to enter expense report on behalf of me	Navigation: Main Menu > Travel and Expense > Manage Expense Security > Authorize Expense Users | Click plus sign and enter the User ID.

How to Authorize expense user to enter expense report	Navigation: Main Menu > Travel and Expense > Manage Expense Security > Authorize Expense Users |Click plus sign and enter the User ID.

How to change the currency on the requisition	Please change the currency while adding item or on the Review and Submit page before submitting the requisition for approval.
